Tagesgruppe;Linie;Richtung;Abfahrtszeit;Starthaltestelle;Geplant;Erhoben;Güteprüfung ok
Montag - Freitag Ferien;312050;1;06:06:00;Waiblingen;13;0;0
Montag - Freitag Ferien;312050;1;07:06:00;Waiblingen;13;13;12
Montag - Freitag Ferien;312050;1;08:06:00;Waiblingen;13;0;0
Montag - Freitag Ferien;312050;1;09:06:00;Waiblingen;13;13;13
Montag - Freitag Ferien;312050;1;10:06:00;Waiblingen;13;0;0
Montag - Freitag Ferien;312050;1;11:16:00;Waiblingen;13;0;0
Montag - Freitag Ferien;312050;1;12:16:00;Waiblingen;13;0;0
Montag - Freitag Ferien;312050;1;13:16:00;Waiblingen;13;7;6
Montag - Freitag Ferien;312050;1;14:46:00;Waiblingen;13;10;10
Montag - Freitag Ferien;312050;1;15:46:00;Waiblingen;13;1;1
Montag - Freitag Ferien;312050;1;16:46:00;Waiblingen;13;0;0
Montag - Freitag Ferien;312050;1;17:46:00;Waiblingen;13;9;8
Montag - Freitag Schule;312050;1;06:06:00;Waiblingen;50;3;2
Montag - Freitag Schule;312050;1;07:06:00;Waiblingen;50;30;29
Montag - Freitag Schule;312050;1;08:06:00;Waiblingen;50;1;1
Montag - Freitag Schule;312050;1;09:06:00;Waiblingen;50;36;30
Montag - Freitag Schule;312050;1;10:06:00;Waiblingen;50;16;12
Montag - Freitag Schule;312050;1;11:16:00;Waiblingen;50;34;34
Montag - Freitag Schule;312050;1;12:16:00;Waiblingen;50;25;15
Montag - Freitag Schule;312050;1;13:16:00;Waiblingen;50;15;13
Montag - Freitag Schule;312050;1;14:06:00;Waiblingen;50;5;5
Montag - Freitag Schule;312050;1;14:46:00;Waiblingen;50;0;0
Montag - Freitag Schule;312050;1;15:46:00;Waiblingen;50;5;3
Montag - Freitag Schule;312050;1;16:46:00;Waiblingen;50;21;9
Montag - Freitag Schule;312050;1;17:46:00;Waiblingen;50;16;14
Montag - Freitag Schule;312050;1;18:26:00;Waiblingen;50;9;5
Montag - Freitag Schule;312050;1;19:16:00;Waiblingen;50;13;10
Montag - Freitag Schule;312050;1;20:16:00;Waiblingen;50;5;5
Montag - Freitag Schule;312050;1;21:06:00;Waiblingen;50;5;4
Montag - Freitag Ferien;312050;2;06:14:00;Schmiden Rathaus;13;0;0
Montag - Freitag Ferien;312050;2;07:14:00;Schmiden Rathaus;13;13;12
Montag - Freitag Ferien;312050;2;08:14:00;Schmiden Rathaus;13;0;0
Montag - Freitag Ferien;312050;2;09:14:00;Schmiden Rathaus;13;13;13
Montag - Freitag Ferien;312050;2;10:14:00;Schmiden Rathaus;13;0;0
Montag - Freitag Ferien;312050;2;11:24:00;Schmiden Rathaus;13;0;0
Montag - Freitag Ferien;312050;2;12:24:00;Schmiden Rathaus;13;0;0
Montag - Freitag Ferien;312050;2;13:24:00;Schmiden Rathaus;13;5;4
Montag - Freitag Ferien;312050;2;14:54:00;Schmiden Rathaus;13;10;10
Montag - Freitag Ferien;312050;2;15:54:00;Schmiden Rathaus;13;1;1
Montag - Freitag Ferien;312050;2;16:54:00;Schmiden Rathaus;13;0;0
Montag - Freitag Ferien;312050;2;17:54:00;Schmiden Rathaus;13;9;8
Montag - Freitag Schule;312050;2;06:14:00;Schmiden Rathaus;41;1;1
Montag - Freitag Schule;312050;2;06:14:00;Schmiden Hohenackerstr.;9;2;1
Montag - Freitag Schule;312050;2;07:14:00;Schmiden Rathaus;41;29;29
Montag - Freitag Schule;312050;2;07:14:00;Schmiden Hohenackerstr.;9;0;0
Montag - Freitag Schule;312050;2;08:14:00;Schmiden Rathaus;41;1;1
Montag - Freitag Schule;312050;2;08:14:00;Schmiden Hohenackerstr.;9;0;0
Montag - Freitag Schule;312050;2;09:14:00;Schmiden Rathaus;41;35;30
Montag - Freitag Schule;312050;2;09:14:00;Schmiden Hohenackerstr.;9;1;0
Montag - Freitag Schule;312050;2;10:14:00;Schmiden Rathaus;41;8;5
Montag - Freitag Schule;312050;2;10:14:00;Schmiden Hohenackerstr.;9;8;7
Montag - Freitag Schule;312050;2;11:24:00;Schmiden Rathaus;41;34;34
Montag - Freitag Schule;312050;2;11:24:00;Schmiden Hohenackerstr.;9;0;0
Montag - Freitag Schule;312050;2;12:24:00;Schmiden Rathaus;41;18;10
Montag - Freitag Schule;312050;2;12:24:00;Schmiden Hohenackerstr.;9;7;4
Montag - Freitag Schule;312050;2;13:24:00;Schmiden Rathaus;41;11;9
Montag - Freitag Schule;312050;2;13:24:00;Schmiden Hohenackerstr.;9;4;4
Montag - Freitag Schule;312050;2;14:14:00;Schmiden Rathaus;41;0;0
Montag - Freitag Schule;312050;2;14:14:00;Schmiden Hohenackerstr.;9;5;5
Montag - Freitag Schule;312050;2;14:54:00;Schmiden Rathaus;41;0;0
Montag - Freitag Schule;312050;2;14:54:00;Schmiden Hohenackerstr.;9;0;0
Montag - Freitag Schule;312050;2;15:54:00;Schmiden Rathaus;41;0;0
Montag - Freitag Schule;312050;2;15:54:00;Schmiden Hohenackerstr.;9;5;5
Montag - Freitag Schule;312050;2;16:54:00;Schmiden Rathaus;41;17;7
Montag - Freitag Schule;312050;2;16:54:00;Schmiden Hohenackerstr.;9;4;2
Montag - Freitag Schule;312050;2;17:54:00;Schmiden Rathaus;41;12;11
Montag - Freitag Schule;312050;2;17:54:00;Schmiden Hohenackerstr.;9;4;4
Montag - Freitag Schule;312050;2;18:34:00;Schmiden Rathaus;41;9;5
Montag - Freitag Schule;312050;2;18:34:00;Schmiden Hohenackerstr.;9;0;0
Montag - Freitag Schule;312050;2;19:24:00;Schmiden Rathaus;41;11;10
Montag - Freitag Schule;312050;2;19:24:00;Schmiden Hohenackerstr.;9;2;1
Montag - Freitag Schule;312050;2;20:24:00;Schmiden Rathaus;41;0;0
Montag - Freitag Schule;312050;2;20:24:00;Schmiden Hohenackerstr.;9;5;4
Montag - Freitag Schule;312050;2;21:14:00;Schmiden Rathaus;41;3;2
Montag - Freitag Schule;312050;2;21:14:00;Schmiden Hohenackerstr.;9;2;2
Montag - Freitag Ferien;312070;1;04:43:00;Korb Seeplatz;13;0;0
Montag - Freitag Ferien;312070;1;05:18:00;Waiblingen Bajastraße;13;9;3
Montag - Freitag Ferien;312070;1;05:33:00;Waiblingen Bajastraße;13;6;6
Montag - Freitag Ferien;312070;1;05:48:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;06:03:00;Waiblingen Bajastraße;13;0;0
Montag - Freitag Ferien;312070;1;06:18:00;Waiblingen Bajastraße;13;6;1
Montag - Freitag Ferien;312070;1;06:33:00;Waiblingen Bajastraße;13;9;0
Montag - Freitag Ferien;312070;1;06:48:00;Waiblingen Bajastraße;13;6;2
Montag - Freitag Ferien;312070;1;07:03:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;07:18:00;Waiblingen Bajastraße;13;0;0
Montag - Freitag Ferien;312070;1;07:33:00;Waiblingen Bajastraße;13;6;0
Montag - Freitag Ferien;312070;1;07:48:00;Waiblingen Bajastraße;13;9;0
Montag - Freitag Ferien;312070;1;08:03:00;Waiblingen Bajastraße;13;6;3
Montag - Freitag Ferien;312070;1;08:18:00;Waiblingen Bajastraße;13;3;1
Montag - Freitag Ferien;312070;1;08:33:00;Waiblingen Bajastraße;13;1;1
Montag - Freitag Ferien;312070;1;08:48:00;Waiblingen Bajastraße;13;6;1
Montag - Freitag Ferien;312070;1;09:03:00;Waiblingen Bajastraße;13;9;0
Montag - Freitag Ferien;312070;1;09:18:00;Waiblingen Bajastraße;13;6;1
Montag - Freitag Ferien;312070;1;09:33:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;09:48:00;Waiblingen Bajastraße;13;0;0
Montag - Freitag Ferien;312070;1;10:03:00;Waiblingen Bajastraße;13;6;2
Montag - Freitag Ferien;312070;1;10:18:00;Waiblingen Bajastraße;13;9;0
Montag - Freitag Ferien;312070;1;10:33:00;Waiblingen Bajastraße;13;6;3
Montag - Freitag Ferien;312070;1;10:48:00;Waiblingen Bajastraße;13;3;1
Montag - Freitag Ferien;312070;1;11:03:00;Waiblingen Bajastraße;13;13;6
Montag - Freitag Ferien;312070;1;11:18:00;Waiblingen Bajastraße;13;6;3
Montag - Freitag Ferien;312070;1;11:33:00;Waiblingen Bajastraße;13;9;1
Montag - Freitag Ferien;312070;1;11:48:00;Waiblingen Bajastraße;13;6;4
Montag - Freitag Ferien;312070;1;12:03:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;12:18:00;Waiblingen Bajastraße;13;13;5
Montag - Freitag Ferien;312070;1;12:33:00;Waiblingen Bajastraße;13;6;2
Montag - Freitag Ferien;312070;1;12:48:00;Waiblingen Bajastraße;13;9;0
Montag - Freitag Ferien;312070;1;13:03:00;Waiblingen Bajastraße;13;6;4
Montag - Freitag Ferien;312070;1;13:18:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;13:33:00;Waiblingen Bajastraße;13;13;6
Montag - Freitag Ferien;312070;1;13:48:00;Waiblingen Bajastraße;13;6;4
Montag - Freitag Ferien;312070;1;14:03:00;Waiblingen Bajastraße;13;9;1
Montag - Freitag Ferien;312070;1;14:18:00;Waiblingen Bajastraße;13;6;4
Montag - Freitag Ferien;312070;1;14:33:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;14:48:00;Waiblingen Bajastraße;13;0;0
Montag - Freitag Ferien;312070;1;15:03:00;Waiblingen Bajastraße;13;6;2
Montag - Freitag Ferien;312070;1;15:18:00;Waiblingen Bajastraße;13;9;0
Montag - Freitag Ferien;312070;1;15:33:00;Waiblingen Bajastraße;13;6;3
Montag - Freitag Ferien;312070;1;15:48:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;16:03:00;Waiblingen Bajastraße;13;13;6
Montag - Freitag Ferien;312070;1;16:18:00;Waiblingen Bajastraße;13;6;3
Montag - Freitag Ferien;312070;1;16:33:00;Waiblingen Bajastraße;13;9;0
Montag - Freitag Ferien;312070;1;16:48:00;Waiblingen Bajastraße;13;6;4
Montag - Freitag Ferien;312070;1;17:03:00;Waiblingen Bajastraße;13;3;0
Montag - Freitag Ferien;312070;1;17:18:00;Waiblingen Bajastraße;13;0;0
