Linie;Richtung;Starthaltenstelle;Abfahrtzeit;Datum;Tagesgruppe;Fahrzeug
312050;1;Waiblingen;06:06;11.03.2024;Schule;WN-OV526
312050;1;Waiblingen;06:06;19.02.2024;Schule;WN-OV526
312050;1;Waiblingen;07:06;01.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;02.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;05.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;06.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;07.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;08.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;08.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;09.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;09.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;10.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;11.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;12.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;12.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;13.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;14.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;15.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;15.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;16.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;16.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;17.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;18.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;19.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;20.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;21.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;22.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;22.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;23.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;23.02.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;24.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;25.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;25.03.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;26.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;26.03.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;27.03.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;28.03.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;07:06;29.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;30.01.2024;Schule;WN-E3020
312050;1;Waiblingen;07:06;31.01.2024;Schule;WN-E3020
312050;1;Waiblingen;08:06;28.02.2024;Schule;WN-OV540
312050;1;Waiblingen;09:06;01.02.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;05.02.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;06.02.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;07.02.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;08.02.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;09.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;09.02.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;10.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;11.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;12.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;09:06;13.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;09:06;14.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;09:06;15.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;15.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;09:06;16.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;16.02.2024;Ferien inkl. Brückentag;WN-E3020
312050;1;Waiblingen;09:06;17.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;18.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;18.03.2024;Schule;WN-E3020
312050;1;Waiblingen;09:06;19.01.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;19.02.2024;Schule;WN-GW8080
312050;1;Waiblingen;09:06;19.03.2024;Schule;WN-E3020
312050;1;Waiblingen;09:06;20.02.2024;Schule;WN-GW8080
